Player,Pos,Squad,Comp,MP,Min,Gls,Ast,GA,xG,npxG,xAG,Sh,SoT,SoT_pct,KP,SCA,GCA,Succ_pct,Goals_per90,Assists_per90,xG_per90,Finishing,Shot_Accuracy
Yunis Abdelhamid,DF,Saint-Étienne,fr Ligue 1,16,1033,0,0,0,0.2,0.2,0.1,2,1,50.0,2,6,0,42.9,0.0,0.0,0.02,-0.2,50.0
Himad Abdelli,"MF,FW",Angers,fr Ligue 1,32,2842,6,1,7,6.4,3.2,3.2,35,8,22.9,39,94,5,47.1,0.19,0.03,0.2,-0.4,22.86
Mohamed Abdelmoneim,DF,Nice,fr Ligue 1,12,855,0,0,0,0.0,0.0,0.0,0,0,0.0,0,8,0,25.0,0.0,0.0,0.0,0.0,
Ali Abdi,"DF,MF",Nice,fr Ligue 1,25,1393,5,2,7,4.3,4.3,1.9,29,11,37.9,20,45,3,41.4,0.32,0.13,0.28,0.7,37.93
Abel,DF,Osasuna,es La Liga,35,2074,2,0,2,0.5,0.5,1.0,12,4,33.3,16,39,4,51.4,0.09,0.0,0.02,1.5,33.33
Matthis Abline,FW,Nantes,fr Ligue 1,34,2768,9,2,11,8.5,7.7,3.8,73,26,35.6,27,61,9,40.7,0.29,0.07,0.28,0.5,35.62
Abner,DF,Lyon,fr Ligue 1,19,1090,1,1,2,0.6,0.6,1.1,7,3,42.9,11,25,1,50.0,0.08,0.08,0.05,0.4,42.86
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,26,1901,7,2,9,10.2,8.6,1.6,62,26,41.9,12,34,7,30.2,0.33,0.09,0.48,-3.2,41.94
Abdel Abqar,DF,Alavés,es La Liga,29,2463,0,1,1,0.9,0.9,0.3,12,1,8.3,8,25,3,75.0,0.0,0.04,0.03,-0.9,8.33
Tammy Abraham,FW,Milan,it Serie A,28,1183,3,4,7,7.1,5.4,2.2,26,11,42.3,14,33,9,28.6,0.23,0.3,0.54,-4.1,42.31
Francesco Acerbi,DF,Inter,it Serie A,23,1710,0,1,1,0.4,0.4,0.6,5,1,20.0,9,20,1,75.0,0.0,0.05,0.02,-0.4,20.0
Akor Adams,FW,Montpellier,fr Ligue 1,15,1075,3,1,4,4.3,4.3,1.0,26,12,46.2,12,25,5,50.0,0.25,0.08,0.36,-1.3,46.15
Che Adams,FW,Torino,it Serie A,36,2652,9,3,12,9.0,8.2,2.0,63,25,39.7,26,63,5,29.7,0.31,0.1,0.31,0.0,39.68
Tyler Adams,MF,Bournemouth,eng Premier League,28,1965,0,3,3,1.6,1.6,1.0,9,2,22.2,18,41,4,22.2,0.0,0.14,0.07,-1.6,22.22
